0,0,17,0,0,10,0,0,0,18,0,0,0,2,0,0,0,6,0,19,9,25,14,0,0
17,0,0,0,2,0,18,23,12,0,0,13,0,0,3,0,0,0,0,0,0,9,0,11,0
20,0,13,0,17,22,0,0,0,25,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0
0,17,0,0,0,0,10,0,0,22,0,0,0,0,0,0,1,0,0,0,0,5,7,0,0
6,0,0,0,0,15,13,3,17,14,0,0,0,0,0,18,2,24,22,4,0,0,0,0,0
0,22,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,20,0,9,10,15,0,17,0
7,23,5,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,0,0,0,0,0,1
0,0,6,0,0,5,0,0,0,0,0,22,0,0,15,0,0,0,7,0,17,0,19,0,0
0,16,7,0,0,0,15,0,0,21,0,0,0,25,20,0,0,0,8,0,3,1,0,0,0
0,0,12,0,0,0,19,0,8,0,0,0,0,5,0,0,0,0,0,0,0,7,0,18,0
11,0,24,0,0,0,2,0,0,0,0,0,0,9,7,0,12,0,0,16,0,0,8,15,3
0,0,0,15,0,0,0,18,0,1,0,17,0,0,21,0,0,9,0,0,0,0,0,0,6
9,0,0,0,0,0,0,0,0,20,1,10,0,14,0,19,0,0,0,0,0,0,0,0,21
0,12,0,0,0,0,0,7,1,0,0,2,15,22,0,9,0,0,0,0,11,0,0,8,0
1,0,0,0,0,19,0,17,0,24,0,0,0,0,0,15,0,11,0,0,0,13,25,0,0
0,0,1,0,0,0,0,0,5,0,25,0,8,18,11,3,0,0,0,0,12,0,4,0,17
23,0,0,11,18,3,0,0,0,0,4,1,0,20,5,25,0,0,0,24,22,0,0,0,19
0,0,14,0,0,0,0,0,0,0,20,0,19,0,0,16,0,0,0,0,0,0,0,0,7
12,7,23,0,0,0,0,0,3,0,0,21,0,17,0,0,0,0,0,0,20,22,0,0,0
19,0,0,3,0,0,0,4,0,16,0,7,1,13,0,0,0,0,0,0,0,0,22,20,0
0,19,3,0,13,0,12,21,0,0,0,18,0,0,24,7,0,8,0,0,0,0,0,16,0
0,0,0,0,0,0,21,0,0,17,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0
0,0,0,2,20,0,0,0,0,0,0,0,23,12,0,0,0,0,17,0,4,0,0,0,0
15,0,0,0,0,0,0,0,14,0,0,0,0,0,16,0,22,0,0,0,5,0,0,13,0
0,0,0,20,0,0,0,13,0,4,14,0,25,0,0,0,0,0,0,0,0,0,0,0,5
