0,10,13,3,0,16,14,15,0,0,11,0,0,0,0,7
0,0,0,8,0,0,10,0,1,0,0,0,4,5,16,0
14,0,0,0,0,6,7,0,0,0,15,0,0,0,10,0
0,0,0,0,0,9,0,2,0,0,7,10,0,13,0,6
15,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,14,0,0,16,0,0,11,0,0,0,4,0,8
4,5,0,0,14,0,1,0,6,15,0,0,0,0,0,16
13,0,0,0,0,3,15,0,4,9,0,16,0,1,5,0
5,0,0,0,6,0,0,0,3,0,8,0,15,0,4,1
0,0,7,0,13,0,9,11,14,4,0,0,0,0,8,0
0,8,0,0,4,10,0,0,12,0,6,0,0,0,0,0
11,15,0,6,0,0,0,0,0,13,9,0,12,0,7,0
2,0,0,0,0,1,0,12,0,0,5,0,0,0,14,0
0,0,0,0,5,2,11,0,0,0,4,3,0,0,0,9
0,4,9,0,0,0,8,14,0,0,0,7,0,3,0,0
0,0,5,0,0,0,0,0,9,1,13,0,0,0,0,10
